Area,Area_Code,year_2017,year_2018,year_2019,year_2020,year_2021
itl321:Ards and North Down,TLN09,17377,17786,18585,18487,19108
itl321:Derry City and Strabane,TLN0A,14382,14603,15378,15610,16572
itl321:Mid Ulster,TLN0B,15899,16354,17042,16834,17495
itl321:Causeway Coast and Glens,TLN0C,16041,16321,16876,16509,16918
itl321:Antrim and Newtownabbey,TLN0D,16420,16756,17492,17468,17960
itl321:Lisburn and Castlereagh,TLN0E,18172,18731,19154,18936,19223
itl321:Mid and East Antrim,TLN0F,16921,17393,17755,17190,17767
itl321:Fermanagh and Omagh,TLN0G,15158,15410,16193,16252,17132
lep:Black Country,E37000001,14552,14992,15395,15550,15874
lep:Cheshire and Warrington,E37000003,21040,22005,22771,22546,22637
lep:Cornwall and Isles of Scilly,E37000005,17615,17988,18746,18854,19772
lep:Coventry and Warwickshire,E37000006,18896,19255,19589,19261,20392
lep:Cumbria,E37000007,18650,19081,19679,19568,20079
lep:Dorset,E37000009,20085,20940,21835,21343,22047
lep:GFirst,E37000011,20511,21290,22127,21618,22299
